# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	2579
#@/user_id	gudk
a 	啊	c=21 d=2.40962 t=2579
zi chan 	資產	c=2 d=0.0134761 t=2579
zi dai 	自帶	c=1 d=0.715338 t=2579
zi ding yi 	自定義	c=2 d=1.23175 t=2579
zi dong 	自動	c=3 d=0.24538 t=2579
zi ji 	自己	c=4 d=0.326626 t=2579
zi kai 	自開	c=1 d=1 t=1492
zi liao 	資料	c=6 d=0.607156 t=2579
zi mao qu 	自貿區	c=1 d=1 t=2310
zi xun 	諮詢	c=3 d=1.97981 t=2166
zi yo 	子喲	c=1 d=0.591555 t=2579
zi you du 	自由度	c=1 d=0.0140519 t=2579
zong zhang 	總賬	c=1 d=0.588605 t=2579
zou 	走	c=3 d=0.488443 t=2579
zu he 	組合	c=1 d=0.0131675 t=2579
zui 	最	c=1 d=1 t=1308
zui di 	最低	c=1 d=0.267135 t=2579
zui hou 	最後	c=4 d=1.95702 t=2297
zui zhong 	最終	c=1 d=0.0437178 t=2579
zuo 	做	c=6 d=0.355564 t=2579
zuo deng 	坐等	c=1 d=0.909373 t=2579
zuo tian 	昨天	c=3 d=0.209088 t=2579
