# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	2584
#@/user_id	gudk
a 	啊	c=21 d=2.40962 t=2584
zhi jie 	直接	c=3 d=2.03197 t=2584
zhi na jin 	滯納金	c=1 d=0.752014 t=2584
zhi neng 	只能	c=2 d=1.53579 t=2584
zhi qian 	之前	c=1 d=0.0132999 t=2584
zhi yao 	只要	c=1 d=0.100259 t=2584
zhi ying 	智影	c=1 d=0.798516 t=2584
zhi you 	只有	c=1 d=0.0135686 t=2584
zhi yue 	智躍	c=2 d=0.257175 t=2584
zhi zhao 	執照	c=2 d=0.559898 t=2584
zhi zhi 	制止	c=1 d=0.00878245 t=2584
zhi zhi 	紙質	c=1 d=0.00882647 t=2584
zhong 	中	c=3 d=0.0245687 t=2584
zhong 	種	c=1 d=0.00453922 t=2584
zhong hang 	中行	c=1 d=0.000518277 t=2584
zhong ji 	中級	c=1 d=0.666977 t=2584
zhong wen 	中文	c=1 d=1 t=2584
zhou 	州	c=1 d=0.000808767 t=2584
zhou wu 	周五	c=2 d=0.23947 t=2584
zhou yi 	周一	c=1 d=0.0102549 t=2584
zhu ban 	主板	c=1 d=0.00887071 t=2584
zhu bao 	珠寶	c=1 d=0.0107269 t=2584
zhu ce 	注冊	c=1 d=0.085435 t=2584
zhu shou 	助手	c=2 d=0.571668 t=2584
zhu xiao 	注消	c=1 d=0.0250972 t=2584
zhu xiao 	注銷	c=2 d=0.831104 t=2584
zhu yao 	主要	c=2 d=0.149575 t=2584
zhua jin 	抓緊	c=6 d=0.0382707 t=2584
zhuan 	賺	c=1 d=0.923116 t=2584
zhuan 	轉	c=1 d=0.00554422 t=2584
zhuan piao 	專票	c=2 d=0.0502874 t=2584
zhuan zhang 	轉賬	c=1 d=0.0057417 t=2584
zhuang shi 	裝飾	c=2 d=0.171761 t=2584
zhui hui 	追回	c=1 d=0.092089 t=2584
zi 	姿	c=1 d=0.000777055 t=2584
zi 	字	c=1 d=0.254107 t=2584
zi chan 	資產	c=2 d=0.0134761 t=2584
zi dai 	自帶	c=1 d=0.715338 t=2584
zi ding yi 	自定義	c=2 d=1.23175 t=2584
zi dong 	自動	c=3 d=0.24538 t=2584
zi ji 	自己	c=4 d=0.326626 t=2584
zi kai 	自開	c=1 d=0.00436124 t=2584
zi liao 	資料	c=6 d=0.607156 t=2584
zi mao qu 	自貿區	c=1 d=0.26054 t=2584
zi xun 	諮詢	c=3 d=0.251076 t=2584
zi yo 	子喲	c=1 d=0.591555 t=2584
zi you du 	自由度	c=1 d=0.0140519 t=2584
zong zhang 	總賬	c=1 d=0.588605 t=2584
zou 	走	c=3 d=0.488443 t=2584
zu he 	組合	c=1 d=0.0131675 t=2584
zui 	最	c=1 d=0.00173804 t=2584
zui di 	最低	c=1 d=0.267135 t=2584
zui hou 	最後	c=4 d=0.477793 t=2584
zui zhong 	最終	c=1 d=0.0437178 t=2584
zuo 	做	c=6 d=0.355564 t=2584
zuo deng 	坐等	c=1 d=0.909373 t=2584
zuo tian 	昨天	c=3 d=0.209088 t=2584
